CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346,325,2,0.0,1,2,1,121,Potential Loyalist
12347,2,7,4310.0,4,4,4,444,Champion
12348,75,4,1797.24,2,3,4,234,Loyal Customer
12349,18,1,1757.55,3,1,4,314,Others
12350,310,1,334.4,1,1,2,112,Others
12352,36,11,1545.41,3,4,3,343,Loyal Customer
12353,204,1,89.0,1,1,1,111,Lost Customer
12354,232,1,1079.4,1,1,3,113,At Risk
12355,214,1,459.4,1,1,2,112,Others
12356,22,3,2811.43,3,2,4,324,Potential Loyalist
12357,33,1,6207.67,3,1,4,314,Others
12358,1,2,1168.06,4,2,3,423,Others
12359,7,6,6182.9800000000005,4,4,4,444,Champion
12360,52,3,2662.06,2,2,4,224,Potential Loyalist
12361,287,1,189.9,1,1,1,111,Lost Customer
12362,3,13,5154.58,4,4,4,444,Champion
12363,109,2,552.0,2,2,2,222,Potential Loyalist
12364,7,4,1313.1,4,3,3,433,Loyal Customer
12365,291,3,320.69,1,2,2,122,Potential Loyalist
12367,4,1,168.9,4,1,1,411,Others
12370,51,4,3541.94,2,3,4,234,Loyal Customer
12371,44,2,1887.96,3,2,4,324,Potential Loyalist
12372,71,3,1298.04,2,2,3,223,Potential Loyalist
12373,311,1,364.6,1,1,2,112,Others
12374,25,1,742.9300000000001,3,1,3,313,Others
12375,2,3,455.42,4,2,2,422,Others
12377,315,2,1628.12,1,2,4,124,At Risk
12378,129,1,4008.62,2,1,4,214,Others
12379,81,3,850.29,2,2,3,223,Potential Loyalist
12380,21,5,2720.56,3,3,4,334,Loyal Customer
12381,4,6,1803.96,4,4,4,444,Champion
12383,184,6,1839.31,1,4,4,144,Loyal Customer
12384,28,3,566.16,3,2,2,322,Potential Loyalist
12386,337,2,401.9,1,2,2,122,Potential Loyalist
12388,15,6,2780.66,4,4,4,444,Champion
12390,79,1,549.84,2,1,2,212,Others
12391,21,1,439.66,3,1,2,312,Others
12393,72,4,1582.6000000000001,2,3,3,233,Loyal Customer
12394,63,2,1272.48,2,2,3,223,Potential Loyalist
12395,15,15,2998.28,4,4,4,444,Champion
12397,35,2,2409.9,3,2,4,324,Potential Loyalist
12398,45,1,1635.6599999999999,3,1,4,314,Others
12399,119,4,1108.65,2,3,3,233,Loyal Customer
12401,303,1,84.3,1,1,1,111,Lost Customer
12402,323,1,225.6,1,1,1,111,Lost Customer
12403,49,2,409.7,3,2,2,322,Potential Loyalist
12405,148,1,1710.39,1,1,4,114,At Risk
12406,22,3,3280.75,3,2,4,324,Potential Loyalist
12407,49,5,1708.1200000000001,3,3,4,334,Loyal Customer
12408,32,9,2842.57,3,4,4,344,Loyal Customer
12409,78,7,11056.93,2,4,4,244,Loyal Customer
12410,301,3,681.0799999999999,1,2,3,123,At Risk
12412,74,3,1226.88,2,2,3,223,Potential Loyalist
12413,66,5,694.15,2,3,3,233,Loyal Customer
12414,217,3,562.41,1,2,2,122,Potential Loyalist
12415,24,26,123725.45,3,4,4,344,Loyal Customer
12417,3,12,3578.8,4,4,4,444,Champion
12418,112,1,668.58,2,1,3,213,Others
12420,63,1,600.39,2,1,2,212,Others
12421,15,5,806.27,4,3,3,433,Loyal Customer
12422,95,3,803.5600000000001,2,2,3,223,Potential Loyalist
12423,0,9,1849.11,4,4,4,444,Champion
12424,162,2,1760.96,1,2,4,124,At Risk
12425,78,1,777.2,2,1,3,213,Others
12426,194,1,582.73,1,1,2,112,Others
12427,11,5,708.37,4,3,3,433,Loyal Customer
12428,25,12,7877.2,3,4,4,344,Loyal Customer
12429,9,4,3750.4,4,3,4,434,Loyal Customer
12430,43,1,256.4,3,1,1,311,Others
12431,35,18,6348.89,3,4,4,344,Loyal Customer
12432,42,5,5059.32,3,3,4,334,Loyal Customer
12433,0,7,13375.87,4,4,4,444,Champion
12434,84,4,765.19,2,3,3,233,Loyal Customer
12435,79,2,7829.89,2,2,4,224,Potential Loyalist
12436,99,1,509.01,2,1,2,212,Others
12437,1,19,4896.66,4,4,4,444,Champion
12438,14,2,2906.85,4,2,4,424,Others
12441,366,1,173.55,1,1,1,111,Lost Customer
12442,3,1,172.06,4,1,1,411,Others
12444,21,5,5005.46,3,3,4,334,Loyal Customer
12445,22,1,133.4,3,1,1,311,Others
12446,57,1,1002.3100000000001,2,1,3,213,Others
12447,243,1,476.49,1,1,2,112,Others
12448,44,1,449.45,3,1,2,312,Others
12449,22,4,4067.29,3,3,4,334,Loyal Customer
12450,156,2,197.88,1,2,1,121,Potential Loyalist
